group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,TAGLN,43.72289,,0.0,0.0,1.0,1.0
0,ACTA2,42.86103,,0.0,0.0,1.0,1.0
0,CALD1,42.63662,,0.0,0.0,1.0,1.0
0,IGFBP7,40.68508,,0.0,0.0,1.0,1.0
0,ADIRF,40.127903,,0.0,0.0,1.0,1.0
0,MYL9,39.722282,,0.0,0.0,1.0,1.0
0,CAV1,38.798206,,0.0,0.0,1.0,1.0
0,SPARCL1,38.012074,,0.0,0.0,1.0,1.0
0,TPM1,36.494843,,1.3387385056489113e-291,2.974974456997581e-289,1.0,1.0
0,MYLK,35.749496,,6.7355894260707405e-280,1.347117885214148e-277,1.0,1.0
0,FILIP1L,34.88322,,1.3356996308627581e-266,2.428544783386833e-264,1.0,1.0
0,TPM2,34.825493,,1.0005663801320583e-265,1.6676106335534304e-263,1.0,1.0
0,NOTCH3,34.770706,,6.743597900222803e-265,1.0374766000342774e-262,1.0,1.0
0,NR2F2,34.634155,,7.737092215050043e-263,1.1052988878642917e-260,1.0,1.0
0,MCAM,33.621975,,8.009263301321533e-248,1.0679017735095377e-245,1.0,1.0
0,SYNPO2,33.083942,,5.058603941639285e-240,6.323254927049106e-238,1.0,1.0
0,IFITM3,32.756176,,2.4798197078247456e-235,2.9174349503820535e-233,1.0,1.0
0,LGI4,31.552534,,1.6551661826626683e-218,1.8390735362918538e-216,1.0,1.0
0,DSTN,30.728434,,2.374404123433991e-207,2.4993727615094645e-205,1.0,1.0
0,COL18A1,30.21287,,1.6049884589197534e-200,1.6049884589197534e-198,1.0,1.0
0,LHFP,30.187035,,3.504938423061921e-200,3.3380365933923054e-198,1.0,1.0
0,TIMP3,29.442041,,1.5918493681201008e-190,1.4471357892000918e-188,1.0,1.0
0,NDUFA4L2,28.946642,,3.0931886841799354e-184,2.6897292905912482e-182,1.0,1.0
0,ID4,28.600649,,6.595180595636725e-180,5.495983829697271e-178,1.0,1.0
0,PPP1R14A,28.071718,,2.1700297681546425e-173,1.736023814523714e-171,1.0,1.0
0,RGS5,27.873442,,5.6009842387286e-171,4.3084494144066154e-169,1.0,1.0
0,COL4A2,27.816841,,2.713995149915915e-170,2.0103667777154928e-168,1.0,1.0
0,SPARC,26.68278,,7.458089545350947e-157,4.972059696900632e-155,1.0,1.0
0,MGP,26.287424,,2.6705445929362588e-152,1.6690903705851617e-150,1.0,1.0
0,SELM,26.180704,,4.408081720071999e-151,2.6715646788315145e-149,1.0,1.0
0,PRRX1,25.923626,,3.607285176634357e-148,2.121932456843739e-146,1.0,1.0
0,A2M,25.787216,,1.2336819543558719e-146,7.049611167747838e-145,1.0,1.0
0,MYH11,25.592867,,1.8316462321203523e-144,1.0175812400668624e-142,1.0,1.0
