rank,0,1,10,11,12,13,2,3,4,5,6,7,8,9
1,TAGLN,B2M,TFF3,IFI27,TYRP1,KRT19,DCN,LYZ,COL1A1,SEPP1,TPSB2,S100A16,KLRB1,XCL1
2,ACTA2,RPS29,CCL21,PECAM1,MLANA,FXYD3,CXCL14,HLA-DPB1,COL3A1,RNASE1,TPSAB1,KRT6A,IL32,SRGN
3,CALD1,CD52,PROX1,GNG11,CDK4,DBI,FBLN1,HLA-DPA1,COL6A1,C1QA,HPGD,KRT16,LTB,CD69
4,IGFBP7,RPS27,MMRN1,PLVAP,PMEL,AQP5,VCAN,HLA-DRA,COL1A2,MS4A6A,CPA3,KRT14,CD69,AREG
5,ADIRF,TMSB4X,GNG11,AQP1,DCT,KRT18,CCDC80,HLA-DQA1,COL5A2,HLA-DRA,HPGDS,SFN,AC092580.4,KLRB1
6,MYL9,MALAT1,CLDN5,TM4SF1,KRAS,C2orf82,CFD,HLA-DQB1,POSTN,NPC2,MS4A2,HSPB1,S100A4,TSC22D3
7,CAV1,IL32,TFPI,CLEC14A,QPCT,S100A1,MMP2,CD74,COL6A3,CD74,SLC18A2,S100A14,CD52,CTSW
8,SPARCL1,RPL41,RAMP2,CD93,SDCBP,GAPDH,PLAC9,HLA-DRB1,LUM,F13A1,CTSG,PERP,RGS1,FOS
9,TPM1,RPL13,ECSCR,TCF4,C4orf48,KRT7,LUM,CST3,APCDD1,MS4A7,GATA2,CSTA,RPL21,TRDC
10,MYLK,RPL28,ARL4A,ARHGAP29,CRNDE,COX7C,IGFBP4,HLA-DRB5,COL6A2,HLA-DPA1,RAB27B,CALML3,IL7R,ID2
11,FILIP1L,RPL34,PTPRE,RGCC,APOD,COX5B,COL6A3,HLA-DMA,SPARC,AIF1,FTH1,GSTP1,TMA7,BTG1
12,TPM2,RPL21,PPFIBP1,COL15A1,FABP5,PDCD4,MFAP5,RP11-1143G9.4,DIO2,HLA-DRB1,H3F3B,TXN,RPS12,NFKBIA
13,NOTCH3,RPS15,RAB11A,HSPG2,TFAP2A,PPP1R1B,C1S,CPVL,MMP2,C1QC,KIT,FABP5,RPL28,B2M
14,NR2F2,RPS28,PCAT19,SPRY1,TSFM,COX7A1,SFRP2,HLA-DQA2,DCN,TYROBP,RGS1,LGALS7B,RPLP2,H3F3B
15,MCAM,RPS18,APP,SPTBN1,LYRM5,CHCHD10,GSN,LST1,COL5A1,FTL,ADCYAP1,DBI,RPS21,XCL2
